Date,speed_rpm,speed_Hz,Current,Voltage,temp_mot,temp_amb,1x[Vibration],2x[Vibration],3x[Vibration],4x[Vibration],5x[Vibration],6x[Vibration],7x[Vibration],8x[Vibration],9x[Vibration],10x[Vibration],1x[Current],2x[Current],3x[Current],4x[Current],5x[Current],6x[Current],7x[Current],8x[Current],9x[Current],10x[Current],1x[Voltage],2x[Voltage],3x[Voltage],4x[Voltage],5x[Voltage],6x[Voltage],7x[Voltage],8x[Voltage],9x[Voltage],10x[Voltage],0-4k_Hz[Vibration],4k-8k_Hz[Vibration],8k-16kHz[Vibration],16k-26kHz[Vibration],0-4k_Hz[Current],4k-8k_Hz[Current],8k-16kHz[Current],16k-26kHz[Current],0-4k_Hz[Voltage],4k-8k_Hz[Voltage],8k-16kHz[Voltage],16k-26kHz[Voltage],Anomaly_Count,Anomaly,Anomaly_Details,target,temp_delta,power,temp_current_ratio,current_voltage_ratio,vib_sum,vib_mean,vib_std,vib_instability,vib_2x_1x_ratio,vib_3x_1x_ratio,vib_4x_1x_ratio,dominant_harmonic,freq_low,freq_high,freq_ratio,delta_Current,delta_Voltage,delta_temp_mot,delta_vib_sum,delta_power
2020-12-02 17:25:03.604,7919.37547,131.989591,1.609338,2.968187,26.093293,21.739496,0.130761,0.06354,0.02562,0.094017,0.377257,0.283148,0.527924,0.275906,0.512332,0.537914,0.012903,0.018567,0.011637,0.018348,0.017035,0.421847,0.017711,0.019958,0.038373,0.025739,0.003575,0.002904,0.003451,0.003913,0.003343,0.003266,0.003218,0.003333,0.003449,0.003466,11.574512,10.251101,34.332172,19.113459,4.087496,3.148589,5.021231,5.082819,1.878607,1.839876,3.634174,4.343698,0,Normal,,0,4.353797,4.776816130206,16.21368102909395,0.5421956231194328,2.8284189999999994,0.2828418999999999,0.19994304790195186,0.7069074557268633,0.48592470231949897,0.19592997912221535,0.7189987840411133,10,11.574512,53.445631,4.617527805923912,0.0,0.0,0.0,0.0,0.0
2020-12-02 17:25:07.815,7968.161802,132.802697,1.784386,2.951127,26.035966,21.755127,0.129288,0.065533,0.029841,0.101551,0.325202,0.26773,0.60738,0.304155,0.529731,0.378961,0.016483,0.015742,0.019662,0.021716,0.01275,0.387692,0.014537,0.019687,0.039567,0.023676,0.004162,0.00398,0.00484,0.003721,0.004128,0.004979,0.003579,0.00464,0.004281,0.004136,10.658033,9.224476,29.91434,17.828449,3.83793,2.972374,4.929544,5.110133,1.850483,1.820347,3.600817,4.306598,0,Normal,,0,4.280838999999997,5.265949703022001,14.590994325218869,0.6046456150480817,2.739372,0.2739372,0.19575493480017872,0.7145978523551337,0.5068761215271332,0.23081028401707818,0.7854634614194668,7,10.658033,47.742789,4.479512213932909,0.1750480000000001,-0.017059999999999853,-0.057327000000000794,-0.08904699999999943,0.4891335728160007
2020-12-02 17:25:12.211,7979.458729,132.990979,1.606156,2.966607,25.968306,21.738585,0.07686,0.06952,0.052936,0.105287,0.507781,0.272668,0.751628,0.345254,0.481192,0.259373,0.015273,0.01336,0.023098,0.01953,0.017332,0.3865,0.010073,0.016263,0.035771,0.0208,0.007623,0.006717,0.008034,0.007055,0.007496,0.007704,0.007052,0.008055,0.008949,0.007958,10.626409,8.820118,29.130281,15.828031,3.83814,2.927193,4.869216,5.119583,1.945781,1.923535,3.799816,4.528593,0,Normal,,0,4.229720999999998,4.764833632692,16.16798492798956,0.5414117879449485,2.922499,0.2922499,0.23230307623229807,0.7948782060568645,0.9045016913869373,0.6887327608639083,1.3698542805100182,7,10.626409,44.958312,4.230809486064389,-0.1782300000000001,0.01548000000000016,-0.06766000000000005,0.18312700000000026,-0.5011160703300002
2020-12-02 17:25:16.610,7964.340995,132.739017,1.793934,2.954286,25.977693,21.763899,0.070569,0.054715,0.048879,0.087824,0.464498,0.289855,0.880029,0.428354,0.601174,0.186761,0.02093,0.022459,0.015649,0.025615,0.020325,0.36794,0.014939,0.015957,0.039438,0.01999,0.008874,0.006538,0.005333,0.006213,0.006786,0.007091,0.007252,0.00721,0.008539,0.007035,12.14969,10.087194,31.348064,18.398607,4.422911,3.360474,5.554649,5.951284,1.946259,1.907213,3.773093,4.499607,0,Normal,,0,4.213794,5.299794101124,14.480852138372983,0.6072309857610264,3.112658,0.31126580000000004,0.2795262453767088,0.8980307035874444,0.7753404469384573,0.6926412447391913,1.244512462979495,7,12.14969,49.746671,4.094480682223168,0.187778,-0.012321000000000026,0.009387000000000256,0.19015899999999997,0.5349604684319997
2020-12-02 17:25:21.015,7979.410686,132.990178,1.720732,2.953338,26.005912,21.763027,0.122334,0.085772,0.067268,0.057775,0.496074,0.285855,0.647718,0.290123,0.5158,0.099972,0.036665,0.038009,0.027579,0.030457,0.028035,0.37622,0.022417,0.014435,0.043794,0.029029,0.005023,0.004202,0.006635,0.005032,0.004821,0.006213,0.003605,0.004349,0.016891,0.004831,10.030826,8.562675,25.925274,16.025468,4.542497,3.367668,5.913092,6.559495,2.024858,1.986529,3.925885,4.736751,0,Normal,,0,4.242884999999998,5.081903203416,15.11328434642931,0.5826397114045192,2.6686910000000004,0.2668691,0.21744749317144232,0.8148095570878843,0.7011296941161084,0.5498716628247257,0.47227263066686287,7,10.030826,41.950742000000005,4.1821822051344535,-0.07320199999999999,-0.0009480000000001709,0.028218999999999994,-0.4439669999999998,-0.21789089770800008
2020-12-02 17:25:25.415,7975.704568,132.928409,1.832127,2.949231,26.067737,21.762996,0.136472,0.076939,0.052538,0.095734,0.521503,0.223965,0.817561,0.396654,0.438482,0.06986,0.019607,0.011591,0.016852,0.017377,0.014189,0.246076,0.014133,0.017777,0.033822,0.021101,0.010338,0.009461,0.008436,0.00842,0.010238,0.009649,0.009118,0.008325,0.008366,0.009035,10.2162,8.993856,28.395884,16.101299,3.457712,3.085626,5.349537,5.701485,1.97098,1.95009,3.866455,4.621952,0,Normal,,0,4.304741,5.403365744337001,14.228127744419464,0.6212219388715228,2.8297079999999997,0.28297079999999997,0.2540248650938635,0.8977069898868135,0.5637713230552787,0.38497274166129314,0.7014918811184712,7,10.2162,44.497183,4.35555128129833,0.11139500000000013,-0.004106999999999861,0.06182500000000246,0.1610169999999993,0.3214625409210008
2020-12-02 17:25:29.816,7969.130028,132.818834,1.822578,2.948599,26.156483,21.773362,0.14751,0.057706,0.089763,0.091055,0.402236,0.342678,0.667006,0.385146,0.526586,0.098219,0.024603,0.014078,0.014908,0.014648,0.013779,0.361146,0.011598,0.015812,0.037085,0.022298,0.00347,0.003519,0.003799,0.002921,0.003185,0.003216,0.003504,0.003326,0.003622,0.006073,10.592091,8.940056,26.929741,15.3784,3.609477,2.758431,4.577272,4.873702,1.777425,1.751631,3.454698,4.125333,0,Normal,,0,4.383121000000003,5.374051668222,14.351365483397693,0.618116603851524,2.807905,0.2807905,0.21406146233591158,0.7623529369259701,0.39120059656972406,0.6085214561724629,0.6172801843942783,7,10.592091,42.308141,3.9943143426543446,-0.00954900000000003,-0.0006319999999999659,0.08874600000000044,-0.021802999999999795,-0.02931407611500081
2020-12-02 17:25:34.211,7966.855295,132.780922,1.781203,2.946704,26.250846,21.762026,0.07677,0.05544,0.098387,0.087379,0.591905,0.34436,0.87378,0.362999,0.506333,0.100508,0.017877,0.011821,0.014782,0.018289,0.015616,0.366072,0.012367,0.015479,0.037751,0.020586,0.006353,0.005486,0.006234,0.005807,0.005698,0.005687,0.006282,0.007136,0.005042,0.006295,10.827523,7.640757,22.312026,13.915931,3.324418,2.541932,4.39844,4.735271,1.756374,1.714737,3.413758,4.093601,0,Normal,,0,4.4888200000000005,5.2486780049120005,14.737705921222902,0.6044729976271794,3.097861,0.3097861,0.27834393320273154,0.8985036229925473,0.7221570926143025,1.2815813468802917,1.1381920020841474,7,10.827523,36.227957,3.345913649871721,-0.04137499999999994,-0.001895000000000202,0.09436299999999775,0.2899560000000001,-0.12537366330999955
2020-12-02 17:25:38.615,7953.792402,132.563207,1.504309,2.969135,26.379676,21.769412,0.140732,0.072236,0.103558,0.102263,0.584672,0.362142,1.042987,0.37985,0.653124,0.185148,0.016338,0.0137,0.014483,0.022594,0.012654,0.374683,0.018537,0.019458,0.043571,0.021784,0.005367,0.005831,0.005328,0.004802,0.005267,0.005219,0.005203,0.005941,0.00576,0.006029,13.197979,10.631165,29.647147,17.24592,3.941913,3.092909,5.035519,5.24244,1.905296,1.858804,3.683024,4.407738,0,Normal,,0,4.610264000000001,4.466496502715,17.536075367494313,0.506648906162906,3.6267120000000004,0.3626712,0.315673591028525,0.8704126245164352,0.51328766733934,0.7358525424210556,0.7266506551459513,7,13.197979,46.893067,3.5530490691036865,-0.2768940000000002,0.02243100000000009,0.12883000000000067,0.5288510000000004,-0.7821815021970009
2020-12-02 17:25:43.016,7916.255196,131.937587,1.704819,2.954602,26.533546,21.780892,0.104642,0.07649,0.113697,0.086893,0.453769,0.24143,0.49584,0.341923,0.585501,0.138553,0.027889,0.031446,0.017307,0.025715,0.015794,0.272685,0.019915,0.018074,0.047742,0.021576,0.008765,0.00807,0.007333,0.008441,0.007353,0.01241,0.005901,0.005306,0.00669,0.007007,10.225073,8.887262,27.611259,14.927503,4.144508,3.410973,5.862403,6.418254,1.931979,1.895241,3.797818,4.531366,0,Normal,,0,4.752654,5.037061627038,15.56384930013098,0.5770046185577618,2.638738,0.2638738,0.19147265393888496,0.7256220736537123,0.7309684447927218,1.0865331320120029,0.8303835935857495,9,10.225073,42.538762,4.160240420777436,0.2005100000000002,-0.01453300000000013,0.15387000000000128,-0.9879740000000004,0.5705651243230001
